track_genre,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
salsa,28.853,273971.653,0.002,0.668,0.72,5.119,-6.96,0.618,0.057,0.468,0.013,0.183,0.809,120.623,3.986
samba,37.622,227660.323,0.0,0.568,0.698,5.135,-8.107,0.674,0.092,0.488,0.004,0.463,0.707,116.162,3.98
sertanejo,47.937,201532.476,0.005,0.594,0.707,5.387,-5.336,0.857,0.065,0.431,0.0,0.471,0.614,126.083,3.867
show-tunes,31.402,207794.594,0.02,0.469,0.402,4.97,-10.456,0.76,0.115,0.646,0.019,0.22,0.383,114.084,3.795
singer-songwriter,50.149,216527.797,0.066,0.561,0.42,5.26,-9.81,0.846,0.052,0.567,0.034,0.148,0.38,123.377,3.831
ska,35.885,222776.623,0.022,0.592,0.798,5.408,-6.185,0.7,0.073,0.134,0.017,0.288,0.719,128.902,3.976
sleep,35.801,189040.356,0.0,0.167,0.354,4.882,-24.445,0.7,0.056,0.662,0.725,0.364,0.056,85.222,3.149
soul,42.907,215571.876,0.254,0.641,0.532,5.192,-8.152,0.575,0.076,0.357,0.029,0.161,0.459,114.565,3.953
spanish,39.842,233769.289,0.041,0.598,0.706,5.334,-6.614,0.644,0.092,0.271,0.016,0.23,0.548,122.91,3.935
study,26.385,141760.317,0.0,0.686,0.412,5.453,-10.824,0.5,0.099,0.529,0.788,0.163,0.4,111.662,3.938
swedish,38.984,206011.2,0.116,0.601,0.633,5.461,-7.688,0.713,0.073,0.317,0.018,0.191,0.568,122.998,3.959
synth-pop,36.736,247657.157,0.035,0.61,0.725,4.79,-8.086,0.615,0.048,0.145,0.089,0.191,0.564,122.311,3.979
tango,20.227,182960.434,0.0,0.544,0.373,4.908,-10.207,0.482,0.082,0.843,0.143,0.233,0.59,114.836,3.806
techno,39.429,319854.12,0.025,0.687,0.772,5.334,-8.066,0.571,0.061,0.057,0.563,0.159,0.342,129.222,3.959
trance,38.108,297153.47,0.014,0.577,0.849,5.749,-6.555,0.51,0.078,0.032,0.527,0.248,0.251,135.893,3.949
trip-hop,33.963,277070.029,0.046,0.645,0.62,5.49,-9.354,0.498,0.078,0.227,0.387,0.196,0.482,119.26,3.933
turkish,40.845,219608.284,0.25,0.625,0.619,5.573,-8.149,0.333,0.115,0.308,0.026,0.183,0.472,121.144,3.94
world-music,41.399,296327.388,0.0,0.408,0.532,5.236,-9.886,0.848,0.043,0.308,0.116,0.261,0.247,120.348,3.832
