track_id,track_name,artist,genre,community_id,genius_title,genius_artist,language,lyrics_preview
7AFASza1mXqntmGtbxXprO,changes,XXXTENTACION,emo,3,changes,XXXTENTACION,en,"Mmm, baby, I don't understand this
You're changing, I can't stand it
My heart can't take this damage
And the way I feel, can't stand it
Mmm, baby, I don't understand this
You're changing, I can't stan..."
1yyIxshSIfW89EPTW0xkPH,Mover Awayer,Hobo Johnson,emo,3,Mover Awayer,Hobo Johnson,en,"One-two-three-four-five-six-do it!

(Yeah) 
Fear  the m–
(They've got a hot one for you)
Fear the m–
Fear  the man who lives without love
And  the lover who lives without fear
Fear the man who always ..."
773YNtbrxwrlIQ3gcDFkN4,Used to,Josh A,emo,3,Used to,Josh A,en,"I don't know why you love me no more, no
I don't know why you love me no more, no

You and I go separate ways
'Cause lately I don't feel the way
That I used to, that I used to
That I used to, that I u..."
2zQQai9nqofvLZ703t0Jxi,this body means nothing to me,Shrimp,emo,3,​this body means nothing to me,Shrimp,en,"They say they saw him with a gun
They think he'll stop but they don't know
There's people talking in the dark
They seem to care
And I keep falling in and out
And it leaves me rotten
But I doubt he's h..."
004h8smbIoAkUNDJvVKwkG,Lovemark,Ouse,emo,3,Lovemark,Ouse,en,"Lovemark, yeah love scars
Can't go far, with my heart
When you come, in my car
All I do, is go fast

Lovemark, yeah love scars
Can’t go far, with my heart
When you come, in my car
All I do, is go fast..."
1OAafkUy9nIhbFY4SDWRxH,Growing Pains,Michael Cera Palin,emo,3,Growing Pains,Michael Cera Palin,en,"Lay down, press my ear to your shoulder
Take in the terrible territory of getting older
Weighed down, thoughts that cross feel like boulders
The perks of waiting now is that the years are getting shor..."
48OrVEvT7yg0qELmu9QmbO,Pain in December,Beamon,emo,3,Pain In December,Beamon,en,"I'm from a city
Where the skinny niggas ride, ain’t pretty
And plenty women lying wind chilly
Depression got my mind gone
Need love send plenty ayy
I'm falling apart i cannot deny it
Why my favorite d..."
7kjYPapOatvPuqPuMn4TgM,california world,Lil Peep,emo,3,california world,Lil Peep,en,"Why you always tryna spend my money?
Why you always gotta act so funny?
I got six gold chains on and I'm goin' dummy
While your bitch give me brains in the back of the Hummer
California girls fuckin' ..."
5xbrhx2tMMcN68IT3cJbhS,Ayala (Outro),XXXTENTACION,emo,3,Ayala (Outro),XXXTENTACION,en,"Ooh, oh-oh, oh-oh
She showed me fake love, can't forget
How it hurt, no, oh-oh
Made a list of my regrets
And you were the first, love, oh-oh
Oh, it hurts, I can't forget
How it hurt, no, oh-oh
Made a ..."
0RjJSBBEolCDJ6wDiuVCmh,ATTENTION!,XXXTENTACION,emo,3,ATTENTION!,XXXTENTACION,en,"'Tention (Hey), 'tention (Hey)
When you see me, please stand at attention (Hey)
Real life, (Hey), realize (Hey)
Try me, I'ma send you back to real life (Uh)
'Tention (Hey), 'tention (Hey)
When you see..."
7j2Bmzpnf6RwEWEQ2sv8Ho,House of Wolves,My Chemical Romance,emo,3,House of Wolves,My Chemical Romance,en,"Well, I know a thing about contrition
Because I got enough to spare
And I'll be granting your permission
'Cause you haven't got a prayer
Well, I said hey, hallelujah
I'm gonna, come on, sing the prais..."
5J4tp32gF3lWNk4RqvsjsO,NEVER,XXXTENTACION,emo,3,NEVER,XXXTENTACION,en,"Sing me a sad song, top of the morning too
By the catacombs, you and I, it's do or die
Skies are grey, so you flew a kite, we knew
And I'll take, my lifetime, better days
I won't awake, and I know

Yo..."
2liWidOj8NL80SxHJqS6fV,Up n Stuck,22Gz,r-n-b,3,Up n Stuck,22Gz,en,"Yozora
Rra-rra
Niggas know they ain't active
Stop all the cappin'
Before you end up in a casket

Got these opp niggas duckin' (Opp niggas duckin')
Shooter gon' walk up, brush him (Walk up, brush him)
..."
2Pn03PIZpWIt34wML20qst,Christmas Christmas,Cheap Trick,r-n-b,3,Christmas Christmas,Cheap Trick,en,"Christmas Christmas time is here
Peace on earth, wish you were here
Christmas Christmas time of year
Time for family, friends and cheer
To all Merry Christmas
Christmas Christmas
To all Merry Christma..."
6AshXllQhobwSXsdpgp41w,Johnny P's Caddy,Benny The Butcher,r-n-b,3,Johnny P’s Caddy,Benny the Butcher,en,"Yeah (You know?)
Tana Talk 4
, nigga (This shit mean a lot to me, nah mean?)
Know this shit don't feel as good as it look (Big Griselda)
I'ma keep it real with you (Black Sopranos Family)
I'm straight..."
6MdqqkQ8sSC0WB4i8PyRuQ,No Diggity,Blackstreet,r-n-b,3,No Diggity,Blackstreet,en,"Yeah
You know what?
I like the playettes
No diggity, no doubt, uh
Play on, playette
Play on, playette
Yo, Dre, drop the verse

It's going down, fade to Blackstreet
The homies got at me, collab' creati..."
4XvcHTUfIlWfyJTRG0aqlo,2055,Sleepy Hallow,r-n-b,3,2055,Sleepy Hallow,en,"Just wanna slide
Like it's 2055, look
I just wanna ride (Great John on the beat by the way)
Like it's 2055, huh, huh
Huh

I just wanna slide, huh
Parties in the sky like it's 2055, huh
She said, ""Boy,..."
